Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       1/1           camlMap__entry [281]
                0.00    0.00       1/1           camlStack__entry [296]
                0.00    0.00       1/1           camlQueue__entry [294]
                0.00    0.00       1/1           camlCamlinternalLazy__entry [267]
                0.00    0.00       1/1           camlBuffer__entry [261]
                0.00    0.00       1/1           camlCamlinternalFormat__entry [266]
                0.00    0.00       1/1           camlPrintf__entry [293]
                0.00    0.00       1/1           camlPrintexc__entry [292]
                0.00    0.00       1/1           camlGc__entry [272]
                0.00    0.00       1/1           camlDigest__entry [270]
                0.00    0.00       1/1           camlHashtbl__entry [275]
                0.00    0.00       1/1           camlWeak__entry [307]
                0.00    0.00       1/1           camlCallback__entry [264]
                0.00    0.00       1/1           camlCamlinternalOO__entry [268]
                0.00    0.00       1/1           camlArrayLabels__entry [258]
                0.00    0.00       1/1           camlPeg__entry [285]
                0.00    0.00       1/1           camlUtil__entry [303]
                0.00    0.00       1/1           camlTypes__entry [300]
                0.00    0.00       1/1           camlPrint__entry [291]
                0.00    0.00       1/1           camlVmr0__entry [304]
                0.00    0.00       1/1           camlImp__entry [277]
-----------------------------------------------
                                                 <spontaneous>
[2]     84.4    0.00    2.41                 caml_start_program [2]
                0.00    2.41       1/1           caml_program [1]
-----------------------------------------------
                0.00    2.41       1/1           caml_program [1]
[3]     84.4    0.00    2.41       1         camlEvo_tkn__entry [3]
                0.51    1.90       1/1           camlVmr0__run_2555 [4]
                0.00    0.00       1/1           camlUtil__open_out_close_1221 [63]
                0.00    0.00       1/1           camlVmr0__print_asm_2307 [79]
                0.00    0.00       1/1           camlPervasives__exit_1398 [86]
                0.00    0.00       1/21271922     camlVmr0__set_r_2172 [13]
                0.00    0.00       1/1           camlUtil__open_in_close_1216 [108]
                0.00    0.00       1/21271925     caml_apply3 [24]
                0.00    0.00       5/6           camlUtil__pnt_1204 [178]
                0.00    0.00       3/88          camlPervasives__$5e_1117 [142]
                0.00    0.00       2/2           caml_sys_time_include_children_unboxed [256]
                0.00    0.00       2/2           caml_sys_time_unboxed [257]
                0.00    0.00       2/22          camlPervasives__string_of_int_1150 [155]
                0.00    0.00       2/6           camlVmr0__print_tkn_2313 [180]
                0.00    0.00       2/6           camlVmr0__print_rcd_tkn_2312 [179]
                0.00    0.00       1/1           camlVmr0__st_ini_2299 [306]
                0.00    0.00       1/1           camlPervasives__loop_1159 [288]
                0.00    0.00       1/1           camlPervasives__valid_float_lexem_1156 [290]
